State name,District name,Population 2011,Population 2001,% Change in population,
WEST BENGAL,Murshidabad,7103807,5866569,21.09,
UTTAR PRADESH,Muzaffarnagar,4143512,3543362,16.94,
BIHAR,Muzaffarpur,4801062,3746714,28.14,
KARNATAKA,Mysore,3001127,2641027,13.63,
ORISSA,Nabarangapur,1220946,1025766,19.03,
WEST BENGAL,Nadia,5167600,4604827,12.22,
ASSAM,Nagaon,2823768,2314629,22.00,
TAMIL NADU,Nagapattinam,1616450,1488839,8.57,
RAJASTHAN,Nagaur,3307743,2775058,19.20,
MAHARASHTRA,Nagpur,4653570,4067637,14.40,
UTTARAKHAND,Nainital,954605,762909,25.13,
BIHAR,Nalanda,2877653,2370528,21.39,
ASSAM,Nalbari,771639,1148824,-32.83,
ANDHRA PRADESH,Nalgonda,3488809,3247982,7.41,
TAMIL NADU,Namakkal,1726601,1493462,15.61,
MAHARASHTRA,Nanded,3361292,2876259,16.86,
MAHARASHTRA,Nandurbar,1648295,1311709,25.66,
CHHATTISGARH,Narayanpur,139820,1311709,-89.34,
GUJARAT,Narmada,590297,514404,14.75,
MADHYA PRADESH,Narsimhapur,1091854,957646,14.01,
MAHARASHTRA,Nashik,6107187,4993796,22.30,
GUJARAT,Navsari,1329672,1229463,8.15,
BIHAR,Nawada,2219146,1809696,22.63,
ORISSA,Nayagarh,962789,864516,11.37,
MADHYA PRADESH,Neemuch,826067,726070,13.77,
NCT OF DELHI,New Delhi,142004,2668564,-94.68,
ANDAMAN AND NICOBAR ISLANDS,Nicobars,36842,42068,-12.42,
ANDHRA PRADESH,Nizamabad,2551335,2345685,8.77,
NCT OF DELHI,North,887978,41030,'2,064.22',
ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,105597,41030,157.37,
SIKKIM,North  District,43709,41030,6.53,
NCT OF DELHI,North East,2241624,41030,'5,363.38',
GOA,North Goa,818008,41030,'1,893.68',
TRIPURA,North Tripura,693947,41030,'1,591.32',
WEST BENGAL,North Twenty Four Parganas,10009781,41030,'24,296.25',
NCT OF DELHI,North West,3656539,41030,'8,811.87',
ORISSA,Nuapada,610382,530690,15.02,
MAHARASHTRA,Osmanabad,1657576,1486586,11.50,
JHARKHAND,Pakur,900422,701664,28.33,
KERALA,Palakkad,2809934,2617482,7.35,
JHARKHAND,Palamu,1939869,2098359,-7.55,
RAJASTHAN,Pali,2037573,1820251,11.94,
HARYANA,Palwal,1042708,1820251,-42.72,
GUJARAT,Panch Mahals,2390776,1820251,31.34,
HARYANA,Panchkula,561293,468411,19.83,
HARYANA,Panipat,1205437,967449,24.60,
MADHYA PRADESH,Panna,1016520,856558,18.67,
ARUNACHAL PRADESH,Papum Pare,176573,856558,-79.39,
MAHARASHTRA,Parbhani,1836086,1527715,20.19,
WEST BENGAL,Paschim Medinipur,5913457,1527715,287.08,
BIHAR,Pashchim Champaran,3935042,1527715,157.58,
JHARKHAND,Pashchimi Singhbhum,1502338,3043466,-50.64,
GUJARAT,Patan,1343734,1182709,13.61,
KERALA,Pathanamthitta,1197412,1234016,-2.97,
PUNJAB,Patiala,1895686,1844934,2.75,
BIHAR,Patna,5838465,4718592,23.73,
TAMIL NADU,Perambalur,565223,493646,14.50,
NAGALAND,Peren,95219,493646,-80.71,
NAGALAND,Phek,163418,148195,10.27,
UTTAR PRADESH,Pilibhit,2031007,1645183,23.45,
UTTARAKHAND,Pithoragarh,483439,462289,4.58,
PONDICHERRY,PONDICHERRY,950289,735332,29.23,
GUJARAT,Porbandar,585449,536835,9.06,
ANDHRA PRADESH,Prakasam,3397448,3059423,11.05,
RAJASTHAN,Pratapgarh,867848,2731174,-68.22,
UTTAR PRADESH,Pratapgarh,3209141,2731174,17.50,
TAMIL NADU,Pudukkottai,1618345,1459601,10.88,
JAMMU AND KASHMIR,Pulwama,560440,652607,-14.12,
JAMMU AND KASHMIR,Punch,476835,372613,27.97,
MAHARASHTRA,Pune,9429408,7232555,30.37,
BIHAR,Purba Champaran,5099371,7232555,-29.49,
WEST BENGAL,Purba Medinipur,5095875,7232555,-29.54,
JHARKHAND,Purbi Singhbhum,2293919,3939773,-41.78,
ORISSA,Puri,1698730,1502682,13.05,
BIHAR,Purnia,3264619,2543942,28.33,
WEST BENGAL,Puruliya,2930115,2536516,15.52,
UTTAR PRADESH,Rae Bareli,3405559,2536516,34.26,
KARNATAKA,Raichur,1928812,1669762,15.51,
CHHATTISGARH,Raigarh,1493984,2207929,-32.34,
MAHARASHTRA,Raigarh,2634200,2207929,19.31,
CHHATTISGARH,Raipur,4063872,3016930,34.70,
MADHYA PRADESH,Raisen,1331597,1125154,18.35,
MADHYA PRADESH,Rajgarh,1545814,1254085,23.26,
GUJARAT,Rajkot,3804558,3169881,20.02,
CHHATTISGARH,Rajnandgaon,1537133,1283224,19.79,
JAMMU AND KASHMIR,Rajouri,642415,1283224,-49.94,
RAJASTHAN,Rajsamand,1156597,987024,17.18,
KARNATAKA,Ramanagara,1082636,987024,9.69,
TAMIL NADU,Ramanathapuram,1353445,1187604,13.96,
JAMMU AND KASHMIR,Ramban,283713,1187604,-76.11,
JHARKHAND,Ramgarh,949443,1187604,-20.05,
UTTAR PRADESH,Rampur,2335819,1923739,21.42,
JHARKHAND,Ranchi,2914253,2785064,4.64,
ANDHRA PRADESH,Rangareddy,5296741,3575064,48.16,
MADHYA PRADESH,Ratlam,1455069,1215393,19.72,
MAHARASHTRA,Ratnagiri,1615069,1696777,-4.82,
ORISSA,Rayagada,967911,831109,16.46,
JAMMU AND KASHMIR,Reasi,314667,831109,-62.14,
MADHYA PRADESH,Rewa,2365106,1973306,19.86,
HARYANA,Rewari,900332,765351,17.64,
MEGHALAYA,Ribhoi,258840,192790,34.26,
HARYANA,Rohtak,1061204,940128,12.88,
BIHAR,Rohtas,2959918,2450748,20.78,
UTTARAKHAND,Rudraprayag,242285,227439,6.53,
